toyota,prado 4doors,2005,4cylinder,349000000,melli,170000,1,0,1,0,2
bmw,x3,2005,30,220000000,melli,175000,1,0,1,9,2
peugeot,206 ir,2005,type6,40000000,melli,211000,1,0,4,4,1
mercedes benz,c class,2014,c200,610000000,melli,62000,1,0,1,0,1
geely,emgrand,2014,x7,150000000,melli,120000,1,0,1,0,1
kia,optima,2016,basic,417000000,melli,17000,1,0,1,0,1
jac,j5,2015,mt,83000000,melli,26800,0,0,1,0,2
porsche,cayenne,2011,s,1250000000,melli,86000,1,0,1,6,8
volvo,xc90,2016,inscription,1200000000,melli,43000,1,0,1,9,3
hyundai,santafe ix45,2008,2700cc,219000000,melli,0,1,0,3,1,-1
kia,sportage gt,2015,line,355000000,melli,60000,1,0,1,0,1
hyundai,santafe ix45,2017,2400cc,600000000,melli,0,1,0,1,2,1
nissan,maxima ir,2006,at,155000000,melli,200000,1,0,3,4,18
hyundai,sonata hybrid,2018,gls,520000000,melli,0,1,2,1,0,1
porsche,cayenne,2010,v6,665000000,melli,160000,1,0,1,1,4
hyundai,tucson,2014,ix35,323000000,melli,50000,1,0,1,1,-1
hyundai,santafe ix45,2015,2400cc,425000000,melli,115000,1,0,1,9,1
nissan,maxima ir,2006,at,155000000,melli,200000,1,0,1,4,2
toyota,camry,2007,glx,210000000,melli,174100,1,0,5,0,2
